United_States_of_America,China,Germany,United_Kingdom,Japan,France,Korea__Republic_of,Italy,Canada,Netherlands,Mexico,Belgium,India,Spain,Singapore,Switzerland,Turkey,Thailand,Australia,Poland,Russian_Federation,Malaysia,Austria,Czech_Republic,Sweden,Brazil,Indonesia,Hungary,Philippines,Denmark,Ireland,Slovakia,South_Africa,Romania,Norway,Portugal,Israel,Finland,Chile,Greece,Colombia,New_Zealand,Peru,Slovenia,Bulgaria,Belarus,Lithuania,Kazakhstan,Croatia,Sri_Lanka,Tunisia,Luxembourg,Dominican_Republic,Guatemala,Ethiopia,Ecuador,Estonia,Costa_Rica,Uruguay,Tanzania__United_Republic_of
504028117,0,103348242,62979614,160559699,51871364,90248764,31315511,51382680,38433062,69987807,16212822,61604427,26474440,42135226,12957716,24873452,40906187,46292722,22380369,35199264,33242589,5783498,18998267,6986290,30719405,29411071,4776877,11477931,6375316,4763866,6432928,14603198,3205017,8126388,1970979,5768087,4368658,14603891,2831346,10032489,7146233,8666725,1618689,1070873,2321406,806016,5087801,578391,3727432,1692094,433579,2321814,1868217,6073161,4073756,1262876,1947536,1747406,1853932
127170567,87623361,0,94348064,20281704,96149644,20955918,63879367,13586672,73077608,13974716,47140020,11829031,39853501,8954023,52237007,21351984,5522896,9275085,42886470,18991576,6010087,63875155,36564621,24706313,10376725,3471691,23774537,2592749,17459253,6518593,11615829,9423582,13846873,8707096,8612543,3806930,8990540,2378909,5014855,2267454,1710856,1116189,4911150,3763285,1384395,3236027,1985982,3196303,346681,1479343,4629225,313401,286208,321438,546316,1523647,378493,404451,160399
58887111,18933744,42548939,0,6515353,21624778,6126715,12066802,7195993,23570908,2344759,18742829,5375634,13965678,5586019,32449544,5541276,2539958,5338148,5052316,3700078,1832676,2568898,3018324,7660017,2800509,818897,1711449,410968,3855358,19958096,1161132,2492445,1735290,4945087,2105857,2273609,1866570,542413,1328636,536137,943326,304581,389617,533770,176084,831868,402821,231991,482280,289308,308724,173180,44900,181815,135217,462268,133066,180231,181094
135023800,142902573,23278332,10198965,0,9306512,45853403,3462342,11564184,9224345,17368173,8197090,9635158,3568804,18595658,3518797,3140255,31125286,14793098,2613014,6818557,13770979,952714,2283778,1182439,4877204,13263523,1256089,6761333,387833,2021201,734595,3062586,325081,1672463,300851,1196285,722494,2084592,276037,1227454,2389219,1075320,85249,93550,84357,42651,584519,29110,1387668,228540,283373,352418,279635,705380,700741,251000,418780,85264,395895
48864400,24631700,74160720,38703822,9482556,0,6162136,35686732,5324813,18280957,3731619,35321581,3195306,33033329,7305964,16712555,7583968,2727767,3282335,7057204,5563160,2209968,3948154,4287348,6017849,4463343,1337703,4575680,1092562,2607777,9623993,2442331,1662440,3905156,2534798,4944156,1605568,2263989,1557109,2099481,1918695,963431,362259,936278,923330,320637,828304,670833,475741,116531,3598235,2295985,167751,89614,183153,260042,341428,120159,130287,95471
74045678,174506083,8557473,6306248,26807292,3419716,0,3547265,6449723,2970181,14618851,2081531,13087658,2539776,18208832,674024,7057381,7012569,10895840,3285463,4532320,7967930,682416,3360250,738584,5420622,8427206,1434331,4550177,1752990,645485,4827550,1149417,536303,3205153,374782,1135717,543478,2005181,1633415,1155364,1345964,1286904,1068901,93979,113229,139152,607047,138143,307950,188772,101271,266367,433767,235345,833010,84637,391011,208979,225595
45435389,16823980,54358388,25062831,7530048,41704478,5824899,0,5768085,9972218,5063730,14302907,4108937,19245655,3539402,19587868,10641617,1915845,4351358,9822620,7933556,1334821,9602466,5721963,4575715,4684876,1368243,4149563,450934,2990426,1329724,2498917,2019401,7619965,2310500,3618317,2490715,1610007,1162371,3714519,823697,688345,639592,4115074,2213497,638259,1276389,1176149,2708046,209365,3013968,529358,339665,118991,490705,380581,411464,179293,159538,79048
301942705,26213746,4126990,10717280,9168187,3032787,3981374,1619007,0,1768935,9947932,3175952,3844145,1096187,1108222,1034478,929038,923364,1668497,364611,815445,693429,374867,156314,381298,2421424,1609252,123198,394191,431978,530454,87410,369798,68230,1570431,79775,263225,568842,744510,95468,877155,448693,754002,35734,30850,19530,17936,254727,13418,291724,162067,125431,243075,94852,35244,319185,23453,164938,50792,59928
17644076,8777761,97476692,47549004,2708402,23879943,4349285,22813510,2687384,0,3252743,61901789,1935724,12705721,4101246,5199311,2914731,966567,1595890,7168026,2926586,2340502,6104653,4192756,11525790,2468970,785231,4116612,414526,6843374,2957779,1024324,1111804,2798509,2808446,3415073,2421311,3167943,408756,2593919,359376,389539,182090,913127,978157,210912,1447113,312210,779305,115634,221151,682131,92767,131663,220769,289026,650518,89809,54084,94945
299181820,10027517,5038653,2146084,4752458,2717239,3464147,1405521,24417523,1587206,0,3176477,2726965,4008688,1912683,1770092,860675,547573,1845131,536423,590124,385327,447220,533950,107697,4377919,197559,208386,100871,128161,403789,101047,492541,122901,200396,163874,111348,187798,2140981,31756,3852940,193329,1725529,9016,9718,37936,4781,71172,6776,10133,33276,24677,805179,2040032,7693,714544,29462,1153294,229745,7354
